state,value
Alabama,9960
Alaska,1090
Arizona,6090
Arkansas,11300
California,38000
Colorado,11000
Connecticut,3310
Delaware,717
Florida,14900
Georgia,4720
Hawaii,1270
Idaho,17200
Illinois,13100
Indiana,8640
Iowa,3070
Kansas,4000
Kentucky,4330
Louisiana,8540
Maine,449
Maryland,7380
Massachusetts,3000
Michigan,10800
Minnesota,3820
Mississippi,3930
Missouri,8570
Montana,7650
Nebraska,8040
Nevada,2620
New Hampshire,1210
New Jersey,5670
New Mexico,3160
New York,10600
North Carolina,12400
North Dakota,1150
Ohio,9440
Oklahoma,3170
Oregon,6730
Pennsylvania,8130
Rhode Island,376
South Carolina,6780
South Dakota,626
Tennessee,7700
Texas,24800
Utah,4460
Vermont,431
Virginia,7650
Washington,4960
West Virginia,3530
Wisconsin,6160
Wyoming,4700
