HUC_8,NAME
02050104,Tioga
02050106,Upper Susquehanna-Tunkhannock
02050107,Upper Susquehanna-Lackawanna
02050201,Upper West Branch Susquehanna
02050202,Sinnemahoning
02050203,Middle West Branch Susquehanna
02050204,Bald Eagle
02050205,Pine
02050206,Lower West Branch Susquehanna
02050302,Upper Juniata
02050303,Raystown
02070001,South Branch Potomac
02070002,North Branch Potomac
03150105,Upper Coosa
03150106,Middle Coosa
03150202,Cahaba
03160101,Upper Tombigbee
03160103,Buttahatchee
03160105,Luxapallila
03160106,Middle Tombigbee-Lubbub
03160107,Sipsey
03160109,Mulberry
03160110,Sipsey Fork
03160111,Locust
03160112,Upper Black Warrior
03160113,Lower Black Warrior
04100011,Sandusky
04100012,Huron-Vermilion
04110001,Black-Rocky
04110002,Cuyahoga
04110003,Ashtabula-Chagrin
04110004,Grand
04120101,Chautauqua-Conneaut
04130002,Upper Genesee
05010001,Upper Allegheny
05010002,Conewango
05010003,Middle Allegheny-Tionesta
05010004,French
05010005,Clarion
05010006,Middle Allegheny-Redbank
05010007,Conemaugh
05010008,Kiskiminetas
05010009,Lower Allegheny
05020001,Tygart Valley
05020002,West Fork
05020003,Upper Monongahela
05020004,Cheat
05020005,Lower Monongahela
05020006,Youghiogheny
05030101,Upper Ohio
05030102,Shenango
05030103,Mahoning
05030104,Beaver
05030105,Connoquenessing
05030106,Upper Ohio-Wheeling
05030201,Little Musringum-Middle Island
05030202,Upper Ohio-Shade
05030203,Little Kanawha
05030204,Hocking
05040001,Tuscarawas
05040002,Mohican
05040003,Walhonding
05040004,Muskingum
05040005,Wills
05040006,Licking
05050002,Middle New
05050003,Greenbrier
05050004,Lower New
05050005,Gauley
05050006,Upper Kanawha
05050007,Elk
05050008,Lower Kanawha
05050009,Coal
05060001,Upper Scioto
05060002,Lower Scioto
05060003,Paint
05070101,Upper Guyandotte
05070102,Lower Guyandotte
05070201,Tug
05070202,Upper Levisa
05070203,Lower Levisa
05070204,Big Sandy
05090101,Raccoon-Symmes
05090102,Twelvepole
05090103,Little Scioto-Tygarts
05090104,Little Sandy
05090201,Ohio Brush-Whiteoak
05100101,Licking
05100102,South Fork Licking
05100201,North Fork Kentucky
05100202,Middle Fork Kentucky
05100203,South Fork Kentucky
05100204,Upper Kentucky
05100205,Lower Kentucky
05110001,Upper Green
05130101,Upper Cumberland
05130102,Rockcastle
05130103,Upper Cumberland-Lake Cumberland
05130104,South Fork Cumberland
05130105,Obey
05130106,Upper Cumberland-Cordell Hull Reservoir
05130107,Collins
05130108,Caney
05130203,Stones
06010201,Watts Bar Lake
06010205,Upper Clinch
06010206,Powell
06010207,Powell
06010208,Emory
06020001,Middle Tennessee-Chickamauga
06020004,Sequatchie
06030001,Guntersville Lake
06030002,Wheeler Lake
06030003,Upper Elk
06030004,Lower Elk
06030005,Pickwick Lake
06030006,Bear
06040002,Upper Duck
