HUC_8,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM
02050104,3575,3575000000,8.993,31.8168,22.8238,24.0254,2.1326,85890.7
02050106,5165,5165000000,8.7565,32.7531,23.9966,24.336,2.2792,125695
02050107,4519,4519000000,9.1768,36.0281,26.8513,26.3205,2.166,118942
02050201,4118,4118000000,10.5925,35.3828,24.7903,28.2132,1.7043,116182
02050202,2682,2682000000,21.8341,31.4447,9.6106,28.8034,1.0484,77250.8
02050203,2024,2024000000,11.317,36.0831,24.7661,27.768,1.3564,56202.5
02050204,1981,1981000000,10.8927,33.9328,23.0401,27.6595,1.8009,54793.5
02050205,2539,2539000000,18.4552,32.4286,13.9735,25.7696,1.5927,65428.9
02050206,4654,4654000000,9.711,34.8685,25.1575,26.5089,1.592,123373
02050302,2565,2565000000,10.919,32.5858,21.6667,26.8833,1.5182,68955.7
02050303,2447,2447000000,10.2372,31.941,21.7038,26.1096,1.8518,63890.2
02070001,3828,3828000000,23.7474,37.9467,14.1993,29.3693,1.6855,112425
02070002,3464,3464000000,10.7543,33.2098,22.4555,28.1693,2.0703,97578.4
03150105,3981,3981000000,10.6782,43.5119,32.8337,33.0681,2.9859,131644
03150106,6554,6554000000,11.1126,45.3165,34.2039,32.9494,4.114,215950
03150202,4719,4719000000,10.9451,45.3241,34.379,34.2164,2.4953,161467
03160101,4526,4526000000,11.0889,44.6419,33.553,35.4963,2.8285,160656
03160103,2245,2245000000,11.2176,43.0298,31.8122,36.0446,2.2578,80920.2
03160105,2055,2055000000,10.8847,45.7909,34.9062,36.2484,2.2801,74490.4
03160106,4133,4133000000,11.1403,46.952,35.8116,36.1899,3.1494,149573
03160107,2034,2034000000,11.7838,45.9393,34.1555,35.681,3.3805,72575.1
03160109,3548,3548000000,11.3996,42.3392,30.9396,32.1981,3.2654,114239
03160110,2458,2458000000,11.5788,41.666,30.0872,30.7585,4.3683,75604.5
03160111,3094,3094000000,11.5824,40.9113,29.3288,31.7133,2.948,98120.9
03160112,3145,3145000000,11.9971,46.6313,34.6343,32.1304,4.7187,101050
03160113,3695,3695000000,10.8901,47.1911,36.301,35.7552,3.8985,132115
04100011,4688,4688000000,9.1846,36.7359,27.5513,24.9108,1.5732,116782
04100012,1961,1961000000,10.1506,30.728,20.5774,25.2966,1.4169,49606.5
04110001,2259,2259000000,10.4011,33.7989,23.3978,26.479,1.6345,59816
04110002,1992,1992000000,10.4772,34.5619,24.0847,27.0019,1.7253,53787.9
04110003,1544,1544000000,10.5397,32.1006,21.5609,26.8193,2.0305,41408.9
04110004,1824,1824000000,11.4302,33.0576,21.6274,27.6102,1.4065,50361.1
04120101,2181,2181000000,9.7328,30.4653,20.7325,26.4732,2.4771,57738
04130002,3681,3681000000,10.0834,34.028,23.9446,24.8671,2.2632,91535.9
05010001,6672,6672000000,10.5918,33.3595,22.7678,27.9352,2.0347,186384
05010002,2254,2254000000,10.4041,33.2962,22.8922,27.4828,2.1749,61946.2
05010003,4340,4340000000,11.6321,37.3497,25.7176,29.863,1.5414,129605
05010004,3168,3168000000,10.5596,37.3561,26.7965,28.593,1.8626,90582.6
05010005,3226,3226000000,11.5997,35.1,23.5004,28.8912,1.4885,93203.1
05010006,4345,4345000000,11.0693,36.9118,25.8425,29.1974,1.7221,126863
05010007,3537,3537000000,10.9357,35.8208,24.8851,29.1614,1.7181,103144
05010008,1324,1324000000,12.6112,37.5585,24.9472,30.0909,1.6173,39840.3
05010009,1213,1213000000,11.2078,32.1145,20.9068,29.355,2.2797,35607.7
