HUC_8,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM
02050104,3583,3583000000,0,31.8168,31.8168,23.9717,2.4132,85890.7
02050106,5190,5190000000,0,32.7531,32.7531,24.2188,2.83,125695
02050107,4582,4582000000,0,36.0281,36.0281,25.9586,3.7445,118942
02050201,4133,4133000000,0,35.3828,35.3828,28.1108,2.4026,116182
02050202,2682,2682000000,21.8341,31.4447,9.6106,28.8034,1.0484,77250.8
02050203,2027,2027000000,0,36.0831,36.0831,27.7269,1.7253,56202.5
02050204,2001,2001000000,0,33.9328,33.9328,27.383,3.2835,54793.5
02050205,2542,2542000000,0,32.4286,32.4286,25.7391,1.8211,65428.9
02050206,4673,4673000000,0,34.8685,34.8685,26.4011,2.3172,123373
02050302,2566,2566000000,0,32.5858,32.5858,26.8728,1.608,68955.7
02050303,2487,2487000000,0,31.941,31.941,25.6897,3.7632,63890.2
02070001,3833,3833000000,0,37.9467,37.9467,29.3309,1.9902,112425
02070002,3477,3477000000,0,33.2098,33.2098,28.064,2.6881,97578.4
03150105,4144,4144000000,0,43.5119,43.5119,31.7674,7.0629,131644
03150106,6688,6688000000,0,45.3165,45.3165,32.2892,6.1565,215950
03150202,4733,4733000000,0,45.3241,45.3241,34.1152,3.1082,161467
03160101,4662,4662000000,0,44.6419,44.6419,34.4608,6.5918,160656
03160103,2247,2247000000,0,43.0298,43.0298,36.0126,2.4997,80920.2
03160105,2062,2062000000,0,45.7909,45.7909,36.1253,3.1027,74490.4
03160106,4225,4225000000,0,46.952,46.952,35.4019,6.1319,149573
03160107,2041,2041000000,0,45.9393,45.9393,35.5586,3.9673,72575.1
03160109,3562,3562000000,0,42.3392,42.3392,32.0716,3.8314,114239
03160110,2582,2582000000,0,41.666,41.666,29.2814,7.837,75604.5
03160111,3136,3136000000,0,40.9113,40.9113,31.2886,4.6759,98120.9
03160112,3218,3218000000,0,46.6313,46.6313,31.4016,6.682,101050
03160113,3761,3761000000,0,47.1911,47.1911,35.1277,6.0805,132115
04100011,4705,4705000000,0,36.7359,36.7359,24.8208,2.168,116782
04100012,1971,1971000000,0,30.728,30.728,25.1682,2.2864,49606.5
04110001,2313,2313000000,0,33.7989,33.7989,25.8608,4.3123,59816
