HUC_8,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM
02050104,3583,3583000000,0,33.2,33.2,24.0409,2.7336,86138.6
02050106,5190,5190000000,0,35.06,35.06,25.021,3.0704,129859
02050107,4582,4582000000,0,37.857,37.857,26.4024,3.869,120976
02050201,4133,4133000000,0,37.6,37.6,27.9702,2.4456,115601
02050202,2682,2682000000,21.766,31.958,10.192,26.6466,1.5375,71466.2
02050203,2027,2027000000,0,36.284,36.284,26.7497,1.9303,54221.6
02050204,2001,2001000000,0,35.189,35.189,27.0494,3.3902,54125.8
02050205,2542,2542000000,0,33.825,33.825,25.3175,2.0913,64357.2
02050206,4673,4673000000,0,35.603,35.603,26.874,2.5793,125582
02050302,2566,2566000000,0,31.994,31.994,26.6499,1.7068,68383.5
02050303,2487,2487000000,0,35.258,35.258,27.1785,4.1089,67592.9
02070001,3833,3833000000,0,40.668,40.668,31.5774,2.4822,121036
02070002,3477,3477000000,0,36.047,36.047,31.1185,2.7591,108199
03150105,4144,4144000000,0,45.774,45.774,32.3594,7.2846,134097
03150106,6688,6688000000,0,46.081,46.081,32.8197,6.4452,219498
03150202,4733,4733000000,0,46.61,46.61,34.9974,3.4879,165643
03160101,4662,4662000000,0,46.337,46.337,34.9244,6.5906,162817
03160103,2247,2247000000,0,42.985,42.985,36.6899,2.5544,82442.3
03160105,2062,2062000000,0,45.625,45.625,37.5784,3.1441,77486.7
03160106,4225,4225000000,0,49.093,49.093,37.0601,6.5035,156579
03160107,2041,2041000000,0,48.074,48.074,36.1486,3.8233,73779.3
03160109,3562,3562000000,0,45.258,45.258,33.3348,3.9076,118739
03160110,2582,2582000000,0,43.804,43.804,29.9451,8.1241,77318.2
03160111,3136,3136000000,0,42.598,42.598,31.9119,4.7348,100076
03160112,3218,3218000000,0,46.584,46.584,32.0904,6.4675,103267
03160113,3761,3761000000,0,48.842,48.842,34.9465,6.4774,131434
04100011,4705,4705000000,0,36.684,36.684,24.1179,2.508,113475
04100012,1971,1971000000,0,30.917,30.917,24.9511,2.3629,49178.6
04110001,2313,2313000000,0,33.866,33.866,25.978,4.3341,60087.1
04110002,2098,2098000000,0,36.284,36.284,26.0853,6.3137,54726.9
04110003,1633,1633000000,0,33.485,33.485,27.167,6.888,44363.8
04110004,1828,1828000000,0,33.832,33.832,29.8412,2.2202,54549.7
04120101,2230,2230000000,0,32.685,32.685,27.9659,4.9741,62364
04130002,3688,3688000000,0,35.349,35.349,25.8573,2.5939,95361.5
05010001,6724,6724000000,0,35.117,35.117,28.3762,3.3653,190802
05010002,2330,2330000000,0,34.155,34.155,28.1906,5.539,65684.2
05010003,4361,4361000000,0,37.982,37.982,30.8255,2.8338,134430
05010004,3197,3197000000,0,37.156,37.156,30.4393,3.6346,97314.5
05010005,3230,3230000000,0,36.179,36.179,28.5454,2.1215,92201.8
05010006,4361,4361000000,0,37.932,37.932,28.8846,2.5324,125966
05010007,3560,3560000000,0,37.059,37.059,28.5698,2.8838,101708
05010008,1333,1333000000,0,38.137,38.137,29.3413,2.9491,39112
05010009,1283,1283000000,0,31.748,31.748,26.9531,6.872,34580.8
05020001,3564,3564000000,0,38.204,38.204,30.6499,2.1073,109236
05020002,2280,2280000000,0,39.542,39.542,33.0059,2.5998,75253.4
05020003,1200,1200000000,0,38.479,38.479,33.4121,2.738,40094.5
05020004,3679,3679000000,0,36.12,36.12,30.8163,2.3082,113373
05020005,3819,3819000000,0,38.084,38.084,29.7466,6.68,113602
05020006,4570,4570000000,0,37.168,37.168,30.881,3.5089,141126
05030101,5142,5142000000,0,35.174,35.174,26.7471,6.0725,137534
05030102,2761,2761000000,0,36.923,36.923,27.4826,6.4063,75879.3
05030103,2958,2958000000,0,36.554,36.554,27.3198,5.6983,80811.9
05030104,291,291000000,0,35.099,35.099,25.5626,7.4599,7438.73
05030105,2168,2168000000,0,36.121,36.121,27.7373,3.7173,60134.4
05030106,3915,3915000000,0,36.826,36.826,29.923,3.3528,117149
05030201,4696,4696000000,0,38.331,38.331,30.3373,2.9652,142464
05030202,3673,3673000000,0,39.793,39.793,30.298,5.2404,111284
05030203,5980,5980000000,0,38.996,38.996,32.0968,1.2728,191939
05030204,3101,3101000000,0,38.128,38.128,29.357,2.6391,91036.1
05040001,6715,6715000000,0,37.536,37.536,27.4764,3.4752,184504
05040002,2608,2608000000,0,32.705,32.705,26.6647,3.0205,69541.6
05040003,3228,3228000000,0,36.578,36.578,26.8144,2.413,86556.9
05040004,4066,4066000000,0,38.205,38.205,28.4716,2.5054,115766
05040005,2204,2204000000,0,34.904,34.904,27.2244,4.3996,60002.5
05040006,2019,2019000000,0,34.79,34.79,28.1276,3.9169,56789.6
05050002,4348,4348000000,0,38.271,38.271,29.2725,1.8819,127277
05050003,4256,4256000000,0,38.453,38.453,28.9089,1.7308,123036
