HUC_8,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM
02050104,3583,3583000000,34.303406,51.676155,17.372749,41.270569,2.893912,147872.4492
02050106,5190,5190000000,35.97678,55.34903,19.37225,44.503547,3.349067,230973.4094
02050107,4582,4582000000,39.773907,56.800468,17.026562,48.041997,3.261141,220128.4309
02050201,4133,4133000000,41.90472,52.137123,10.232403,46.440493,2.04043,191938.5589
02050202,2682,2682000000,41.935249,53.024406,11.089157,48.071065,1.96272,128926.5965
02050203,2027,2027000000,40.782124,53.877251,13.095127,46.857644,2.115262,94980.44363
02050204,2001,2001000000,39.950657,56.165531,16.214874,45.50376,3.389062,91053.02307
02050205,2542,2542000000,35.804218,51.299217,15.494999,44.473466,2.650407,113051.5499
02050206,4673,4673000000,40.528873,57.439438,16.910564,47.241176,3.271016,220758.0137
02050302,2566,2566000000,38.505032,53.302467,14.797436,43.228195,2.926037,110923.5488
02050303,2487,2487000000,38.167156,51.94672,13.779564,42.336056,2.593716,105289.7704
02070001,3833,3833000000,34.713093,63.825249,29.112156,43.48454,5.243069,166676.2429
02070002,3477,3477000000,37.06953,62.302658,25.233128,44.816776,5.536842,155827.9318
03150105,4144,4144000000,52.369843,64.952316,12.582474,56.128717,2.763744,232597.4022
03150106,6688,6688000000,52.537437,72.058029,19.520592,56.003172,2.32147,374549.2144
03150202,4733,4733000000,51.592686,62.634968,11.042282,56.880583,1.815429,269215.7973
03160101,4662,4662000000,55.98172,63.767937,7.786217,59.610141,1.262407,277902.4762
03160103,2247,2247000000,56.920845,64.71772,7.796875,61.500176,1.394606,138190.8944
03160105,2062,2062000000,56.024002,64.94281,8.918808,60.339331,1.568626,124419.7002
03160106,4225,4225000000,54.781376,61.12447,6.343094,57.03307,1.155648,240964.7207
03160107,2041,2041000000,55.326969,64.389061,9.062092,59.56898,2.308861,121580.2885
03160109,3562,3562000000,55.28875,64.233658,8.944908,59.777867,1.73551,212928.7634
03160110,2582,2582000000,57.015343,64.047058,7.031715,61.090458,1.092889,157735.5634
03160111,3136,3136000000,54.218407,64.091873,9.873466,57.934672,1.717389,181683.1324
03160112,3218,3218000000,55.435593,63.751282,8.315689,58.983353,1.608906,189808.4291
03160113,3761,3761000000,53.98122,59.866093,5.884872,56.662354,1.11658,213107.1147
04100011,4705,4705000000,34.988064,43.131939,8.143875,38.293975,1.423354,180173.1546
04100012,1971,1971000000,35.500282,42.80978,7.309498,39.301073,1.485936,77462.41475
04110001,2313,2313000000,36.514187,47.35725,10.843063,40.711284,1.637786,94165.19948
04110002,2098,2098000000,37.936783,50.986061,13.049278,43.368217,2.437295,90986.51875
04110003,1633,1633000000,39.905968,50.700905,10.794937,45.062862,2.27317,73587.65325
04110004,1828,1828000000,41.221001,51.436501,10.2155,45.14062,2.32521,82517.05278
04120101,2230,2230000000,41.036125,57.532501,16.496376,47.479749,3.286345,105879.8403
04130002,3688,3688000000,31.59425,50.964687,19.370438,42.591609,3.734488,157077.8548
05010001,6724,6724000000,41.243843,56.836906,15.593063,49.170047,2.93989,330619.3986
05010002,2330,2330000000,45.274124,58.309906,13.035782,51.164708,2.154029,119213.7705
05010003,4361,4361000000,44.597717,54.659,10.061283,50.318371,1.758623,219438.4174
05010004,3197,3197000000,44.852657,55.493374,10.640717,50.204665,2.049308,160504.3147
05010005,3230,3230000000,45.132687,53.066936,7.93425,49.408826,1.4268,159590.5071
05010006,4361,4361000000,42.407249,52.651592,10.244343,47.895605,1.511119,208872.7344
05010007,3560,3560000000,42.42503,55.476845,13.051815,47.547748,2.024934,169269.9841
05010008,1333,1333000000,42.120968,56.217529,14.096561,47.04502,2.301651,62711.01228
05010009,1283,1283000000,38.932125,50.242249,11.310123,44.91459,2.083454,57625.41901
05020001,3564,3564000000,46.288189,69.255684,22.967495,55.235515,4.173888,196859.3738
05020002,2280,2280000000,46.035408,57.345875,11.310467,51.167405,1.887547,116661.683
05020003,1200,1200000000,43.639908,56.459782,12.819874,49.410226,2.590645,59292.27157
05020004,3679,3679000000,43.956219,64.580872,20.624653,55.800111,3.524666,205288.6087
05020005,3819,3819000000,38.599094,61.588875,22.98978,44.650565,2.77449,170520.5095
05020006,4570,4570000000,39.783501,60.556408,20.772907,49.289804,4.289801,225254.4032
05030101,5142,5142000000,38.237717,45.197781,6.960064,42.556245,1.1942,218824.2113
05030102,2761,2761000000,39.090374,49.682812,10.592438,44.452586,2.06243,122733.5889
05030103,2958,2958000000,39.161781,47.06847,7.906689,42.073998,1.224702,124454.8864
05030104,291,291000000,38.690811,46.426125,7.735313,42.595273,1.602064,12395.22443
05030105,2168,2168000000,40.308533,50.820408,10.511875,45.663442,1.921028,98998.3419
05030106,3915,3915000000,39.920654,53.942844,14.02219,46.286099,2.591253,181210.0775
05030201,4696,4696000000,41.749844,55.342064,13.59222,48.793717,2.378848,229135.2969
05030202,3673,3673000000,42.113155,50.190407,8.077251,45.44495,1.526883,166919.3008
05030203,5980,5980000000,44.224281,65.074158,20.849876,50.807063,2.781426,303826.2389
05030204,3101,3101000000,41.125751,46.291782,5.166031,43.581522,0.875319,135146.3005
05040001,6715,6715000000,39.274563,47.673531,8.398968,42.338523,1.382377,284303.1812
05040002,2608,2608000000,39.594936,45.740971,6.146034,42.431463,1.305775,110661.2551
05040003,3228,3228000000,39.175938,46.045376,6.869438,42.463602,1.351342,137072.5076
05040004,4066,4066000000,39.116657,48.32103,9.204372,42.956006,1.885134,174659.122
05040005,2204,2204000000,39.795189,50.075626,10.280437,43.040623,1.937319,94861.53357
05040006,2019,2019000000,39.138813,46.302406,7.163593,43.392483,1.308969,87609.42315
05050002,4348,4348000000,37.378155,53.32753,15.949375,42.69014,2.733973,185616.7269
05050003,4256,4256000000,37.735313,64.748375,27.013062,46.835845,4.474779,199333.3543
05050004,1794,1794000000,38.046501,52.92028,14.873779,46.142685,2.632695,82779.97704
05050005,3677,3677000000,43.25872,65.380371,22.121651,55.272365,4.80216,203236.486
05050006,1338,1338000000,42.489719,52.974533,10.484814,48.220992,1.745134,64519.68748
05050007,3978,3978000000,44.784752,68.405937,23.621185,54.292428,5.097401,215975.2803
05050008,2393,2393000000,42.333126,51.929562,9.596436,46.918857,1.725723,112276.8253
05050009,2311,2311000000,44.028095,61.025436,16.997341,51.057991,2.863539,117995.0161
05060001,8283,8283000000,38.437469,45.79628,7.35881,41.292376,1.446881,342024.7512
05060002,5617,5617000000,39.380249,51.084064,11.703815,43.673831,2.115839,245315.9085
05060003,2964,2964000000,40.787937,46.878498,6.090561,42.724307,1.169272,126634.8467
05070101,2430,2430000000,44.481594,61.109627,16.628033,51.750942,3.729433,125754.7898
05070102,1917,1917000000,44.532562,59.776001,15.243439,49.441347,2.404113,94779.06202
05070201,4034,4034000000,44.286221,58.112625,13.826405,49.877853,2.407305,201207.2606
05070202,3138,3138000000,45.19825,60.933968,15.735718,50.14109,1.726289,157342.7409
05070203,2877,2877000000,43.421844,55.300812,11.878967,48.491666,2.179457,139510.523
05070204,1067,1067000000,44.040749,51.075718,7.034969,47.858292,1.128649,51064.79715
05090101,3776,3776000000,42.324123,48.964905,6.640781,45.271296,1.381586,170944.4136
05090102,1151,1151000000,44.314842,57.844967,13.530125,49.591853,1.94055,57080.22236
05090103,2614,2614000000,41.768814,56.962845,15.194031,46.824918,2.867587,122400.3363
05090104,1875,1875000000,43.348625,55.67569,12.327065,48.431686,2.042585,90809.41206
05090201,5448,5448000000,41.891655,55.980469,14.088814,46.980578,2.134322,255950.1899
05100101,7199,7199000000,42.662811,57.543282,14.88047,49.373859,2.79413,355442.4108
05100102,2391,2391000000,42.943375,51.87122,8.927845,48.510235,1.924161,115987.9725
05100201,3429,3429000000,47.035656,66.312279,19.276623,51.183688,2.258789,175508.865
05100202,1444,1444000000,48.589905,67.871468,19.281563,55.344882,4.096474,79918.0099
05100203,1939,1939000000,48.605907,63.949436,15.343529,53.571204,2.377768,103874.5654
05100204,2840,2840000000,46.677002,56.22681,9.549809,51.33837,1.968582,145800.9717
05100205,8395,8395000000,44.321938,57.012436,12.690498,48.367313,1.367089,406043.5965
05110001,8121,8121000000,49.128437,58.180687,9.05225,53.077063,1.349994,431038.8275
05130101,6044,6044000000,49.42197,75.650406,26.228436,57.021993,4.538667,344640.9284
05130102,1978,1978000000,48.116219,54.620842,6.504623,51.489799,1.106635,101846.8232
05130103,4872,4872000000,47.808437,57.908127,10.099689,52.583132,1.669752,256185.0194
05130104,3586,3586000000,48.450439,73.93972,25.489281,57.005144,4.003428,204420.4454
05130105,2455,2455000000,51.495842,61.658875,10.163033,55.479074,2.44748,136201.1261
05130106,2057,2057000000,52.661095,61.274502,8.613407,56.812028,1.201377,116862.3419
05130107,2037,2037000000,53.48,68.577187,15.097187,58.902104,3.576619,119983.5852
05130108,4657,4657000000,52.676311,64.574722,11.898411,57.355476,2.406894,267104.4507
05130203,2418,2418000000,49.391907,68.134186,18.742279,54.639754,2.286578,132118.9252
06010201,3504,3504000000,51.148281,85.478249,34.329967,57.012154,5.013126,199770.5879
06010205,5096,5096000000,44.63372,69.944626,25.310905,51.159739,3.646576,260710.0314
06010206,2444,2444000000,49.429844,71.661873,22.232029,55.570708,2.889028,135814.8104
06010207,1642,1642000000,52.026592,74.236031,22.209438,55.76636,2.451482,91568.36247
06010208,2248,2248000000,54.518906,70.548531,16.029625,58.89662,2.385633,132399.6018
06020001,4842,4842000000,50.285561,69.134407,18.848846,57.015084,4.252768,276067.0346
