HUC_8,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM
02050104,3583,3583000000,34.476,61.215,26.739,45.259,4.0785,162163
02050106,5190,5190000000,38.655,56.811,18.156,46.6864,2.7773,242302
02050107,4582,4582000000,39.558,62.082,22.524,48.1771,3.4769,220748
02050201,4133,4133000000,38.063,48.977,10.914,43.5579,1.7335,180025
02050202,2682,2682000000,38.343,50.54,12.197,45.274,1.9606,121425
02050203,2027,2027000000,37.078,53.021,15.943,44.7839,2.9506,90776.9
02050204,2001,2001000000,36.251,54.289,18.038,40.7447,2.6724,81530
02050205,2542,2542000000,38.104,57.198,19.094,47.7532,3.0949,121389
02050206,4673,4673000000,40.864,61.611,20.747,49.8749,2.9261,233066
02050302,2566,2566000000,35.508,47.281,11.773,39.3503,2.3317,100973
02050303,2487,2487000000,30.62,44.168,13.548,35.8631,2.1509,89191.5
02070001,3833,3833000000,29.873,64.09,34.217,39.9608,5.8987,153170
02070002,3477,3477000000,32.438,60.542,28.104,42.1206,5.4926,146453
03150105,4144,4144000000,43.779,65.827,22.048,49.6488,3.3133,205745
03150106,6688,6688000000,44.96,84.253,39.293,53.4248,5.2709,357305
03150202,4733,4733000000,48.622,77.287,28.665,64.1665,4.8408,303700
03160101,4662,4662000000,50.273,62.166,11.893,55.8312,2.4404,260285
03160103,2247,2247000000,54.056,64.097,10.041,58.5906,1.6562,131653
03160105,2062,2062000000,53.897,64.21,10.313,58.5397,1.8428,120709
03160106,4225,4225000000,54.212,69.447,15.235,61.0516,2.5126,257943
03160107,2041,2041000000,55.078,71.253,16.175,63.0653,3.2174,128716
03160109,3562,3562000000,48.183,65.981,17.798,55.9816,4.1084,199406
03160110,2582,2582000000,51.495,61.73,10.235,56.9512,1.8681,147048
03160111,3136,3136000000,44.093,69.612,25.519,53.2194,4.3736,166896
03160112,3218,3218000000,52.444,78.029,25.585,63.2021,3.7354,203384
03160113,3761,3761000000,60.826,72.671,11.845,66.4889,1.9643,250065
04100011,4705,4705000000,36.486,44.445,7.959,40.3234,1.4197,189722
04100012,1971,1971000000,38.301,44.755,6.454,41.7852,1.2734,82358.6
04110001,2313,2313000000,40.382,49.402,9.02,43.1665,1.2504,99844.1
04110002,2098,2098000000,38.848,52.713,13.865,44.4234,2.4494,93200.3
04110003,1633,1633000000,40.226,52.743,12.517,45.7575,2.2463,74722
04110004,1828,1828000000,41.165,53.022,11.857,45.7832,2.5669,83691.8
04120101,2230,2230000000,39.003,70.434,31.431,49.1329,6.2328,109566
04130002,3688,3688000000,33.137,54.161,21.024,44.6159,3.5718,164543
05010001,6724,6724000000,40.382,55.971,15.589,46.6468,2.4017,313653
05010002,2330,2330000000,41.689,70.667,28.978,50.5638,6.7887,117814
05010003,4361,4361000000,40.86,50.541,9.681,44.8924,1.4773,195776
05010004,3197,3197000000,41.449,57.475,16.026,48.0338,2.3926,153564
05010005,3230,3230000000,41.091,48.297,7.206,44.6495,1.3995,144218
05010006,4361,4361000000,40.032,51.172,11.14,45.1566,1.4645,196928
05010007,3560,3560000000,38.026,54.999,16.973,44.2078,2.5821,157380
05010008,1333,1333000000,41.488,56.764,15.276,45.8902,2.3984,61171.6
05010009,1283,1283000000,37.67,47.985,10.315,44.2265,1.8062,56742.6
05020001,3564,3564000000,41.366,69.49,28.124,52.6395,5.1485,187607
05020002,2280,2280000000,40.82,56.062,15.242,47.9303,2.7852,109281
05020003,1200,1200000000,41.169,52.987,11.818,45.1825,2.2975,54219
05020004,3679,3679000000,42.626,65.111,22.485,53.3851,3.4724,196404
05020005,3819,3819000000,36.328,56.049,19.721,42.612,2.4613,162735
05020006,4570,4570000000,37.661,57.24,19.579,47.3509,3.8554,216393
05030101,5142,5142000000,37.591,49.369,11.778,44.5675,2.3041,229166
05030102,2761,2761000000,41.367,50.31,8.943,46.4727,1.7451,128311
05030103,2958,2958000000,40.224,47.707,7.483,43.4468,1.4941,128516
05030104,291,291000000,40.581,48.967,8.386,45.6458,1.8372,13282.9
05030105,2168,2168000000,42.629,50.344,7.715,46.4224,1.3865,100644
05030106,3915,3915000000,39.76,50.113,10.353,45.5452,2.0321,178309
05030201,4696,4696000000,38.891,54.755,15.864,47.1533,2.5301,221432
05030202,3673,3673000000,35.31,46.143,10.833,40.588,2.5774,149080
05030203,5980,5980000000,40.309,66.847,26.538,49.1953,3.8887,294188
05030204,3101,3101000000,37.119,49.639,12.52,43.0717,2.5602,133565
05040001,6715,6715000000,41.646,47.909,6.263,45.3941,1.0214,304821
05040002,2608,2608000000,39.366,47.279,7.913,43.1628,1.4435,112569
05040003,3228,3228000000,41.214,48.624,7.41,44.7255,1.2591,144374
05040004,4066,4066000000,40.188,50.778,10.59,45.3569,1.5558,184421
05040005,2204,2204000000,41.647,49.957,8.31,44.7187,1.3805,98560.1
05040006,2019,2019000000,43.179,51.488,8.309,47.8063,1.5029,96521
05050002,4348,4348000000,33.181,48.067,14.886,38.2958,2.9771,166510
05050003,4256,4256000000,32.16,59.529,27.369,40.9451,4.884,174262
05050004,1794,1794000000,36.057,51.372,15.315,42.2011,2.9729,75708.7
05050005,3677,3677000000,36.848,72.009,35.161,53.6402,6.8961,197235
05050006,1338,1338000000,40.897,52.673,11.776,46.8145,2.3158,62637.8
05050007,3978,3978000000,42.55,68.742,26.192,54.1379,5.2912,215360
05050008,2393,2393000000,36.056,51.649,15.593,43.0944,3.1068,103125
05050009,2311,2311000000,40.42,55.119,14.699,46.9693,2.5622,108546
05060001,8283,8283000000,38.697,52.59,13.893,44.8393,2.3491,371404
05060002,5617,5617000000,35.623,47.586,11.963,40.9016,2.2993,229745
05060003,2964,2964000000,37.593,46.452,8.859,41.1623,1.2433,122005
05070101,2430,2430000000,41.212,55.002,13.79,46.5728,2.6453,113172
05070102,1917,1917000000,40.616,54.484,13.868,46.0725,2.8644,88321
05070201,4034,4034000000,38.181,54.361,16.18,46.1886,2.7087,186325
05070202,3138,3138000000,39.209,61.22,22.011,44.2103,2.3701,138732
05070203,2877,2877000000,36.571,48.778,12.207,41.5506,2.4106,119541
05070204,1067,1067000000,37.986,45.113,7.127,41.0726,1.6893,43824.4
05090101,3776,3776000000,35.31,45.195,9.885,38.921,2.0539,146966
05090102,1151,1151000000,40.196,53.811,13.615,44.7719,2.2105,51532.4
05090103,2614,2614000000,35.309,48.614,13.305,39.8423,2.4815,104148
05090104,1875,1875000000,36.65,48.458,11.808,43.123,2.181,80855.6
05090201,5448,5448000000,35.903,49.489,13.586,41.9529,1.8112,228559
05100101,7199,7199000000,36.174,49.21,13.036,42.1242,2.229,303252
05100102,2391,2391000000,35.466,41.656,6.19,38.626,1.2944,92354.7
05100201,3429,3429000000,38.384,61.025,22.641,44.3695,2.9511,152143
05100202,1444,1444000000,38.616,59.448,20.832,47.0552,4.5869,67947.7
05100203,1939,1939000000,37.798,51.216,13.418,43.4376,2.1121,84225.5
05100204,2840,2840000000,36.176,45.63,9.454,41.8688,1.8457,118907
05100205,8395,8395000000,31.727,47.906,16.179,38.1744,2.8798,320475
05110001,8121,8121000000,37.404,51.062,13.658,43.9655,2.5695,357044
05130101,6044,6044000000,37.004,69.052,32.048,46.14,5.2695,278870
05130102,1978,1978000000,35.227,45.387,10.16,40.3683,1.9829,79848.6
05130103,4872,4872000000,34.211,50.395,16.184,41.1863,3.241,200660
05130104,3586,3586000000,36.412,67.358,30.946,45.7353,4.743,164007
05130105,2455,2455000000,39.248,52.516,13.268,44.3825,3.2543,108959
05130106,2057,2057000000,39.29,51.882,12.592,44.6229,1.8155,91789.3
05130107,2037,2037000000,39.484,61.85,22.366,47.1609,4.6229,96066.7
05130108,4657,4657000000,39.601,53.414,13.813,46.3326,2.6877,215771
05130203,2418,2418000000,38.895,57.594,18.699,44.17,1.7595,106803
06010201,3504,3504000000,41.572,67.907,26.335,49.9987,4.3572,175196
06010205,5096,5096000000,37.666,64.451,26.785,44.2464,3.8576,225479
06010206,2444,2444000000,39.758,67.678,27.92,46.0023,4.3598,112430
06010207,1642,1642000000,41.538,67.948,26.41,48.7487,3.2618,80045.3
06010208,2248,2248000000,44.641,61.296,16.655,50.9978,2.7264,114643
06020001,4842,4842000000,45.041,64.405,19.364,51.2881,4.1567,248337
06020004,1556,1556000000,44.285,63.941,19.656,52.8576,4.6902,82246.4
06030001,5161,5161000000,43.379,61.963,18.584,51.2996,4.0777,264757
06030002,7498,7498000000,41.41,59.681,18.271,50.3937,3.3135,377852
06030003,3320,3320000000,45.275,59.602,14.327,50.9235,2.4503,169066
06030004,2498,2498000000,44.01,58.774,14.764,52.3083,3.1917,130666
06030005,5905,5905000000,44.604,59.408,14.804,51.6683,2.478,305101
06030006,2450,2450000000,45.634,61.891,16.257,53.0496,4.1456,129971
06040002,3060,3060000000,42.199,58.149,15.95,46.5021,2.6981,142296
