HUC_8,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM
02050104,3563,3563000000,1.9193,57.8572,55.9379,6.6327,3.0955,23632.2
02050106,5132,5132000000,3.4377,53.471,50.0333,8.7385,2.3256,44845.9
02050107,4478,4478000000,3.8228,68.8002,64.9774,10.0127,3.5459,44836.6
02050201,4108,4108000000,3.5847,45.6827,42.098,9.8425,3.2402,40433.2
02050202,2682,2682000000,4.0249,27.4114,23.3865,12.9946,2.7877,34851.5
02050203,2023,2023000000,4.7841,34.8517,30.0677,11.3824,2.8097,23026.6
02050204,1977,1977000000,2.8622,36.0179,33.1558,10.9966,3.2932,21740.3
02050205,2539,2539000000,3.3003,43.9451,40.6448,9.0313,2.4092,22930.4
02050206,4643,4643000000,3.7327,59.1072,55.3744,9.89,3.6179,45919.3
02050302,2563,2563000000,4.2287,25.0948,20.8661,9.1409,2.5377,23428.1
02050303,2432,2432000000,3.2843,25.1467,21.8624,8.4843,2.2593,20633.8
02070001,3828,3828000000,0.81797,62.1354,61.3175,9.9502,5.0603,38089.4
02070002,3457,3457000000,1.7706,42.5919,40.8212,8.7028,3.9476,30085.5
03150105,3959,3959000000,2.6535,29.251,26.5975,10.5473,4.2387,41756.6
03150106,6489,6489000000,2.5419,47.8241,45.2822,11.3601,4.1618,73716
03150202,4709,4709000000,1.4882,59.2605,57.7723,10.3615,4.836,48792.5
03160101,4511,4511000000,2.1677,46.7874,44.6197,9.5395,4.2538,43032.5
03160103,2244,2244000000,2.9505,57.8617,54.9112,12.928,6.6123,29010.4
03160105,2053,2053000000,2.7393,73.7167,70.9773,11.8541,4.8347,24336.4
03160106,4105,4105000000,1.7932,62.2981,60.5049,7.7231,4.4236,31703.4
03160107,2031,2031000000,2.0162,74.139,72.1228,10.8862,5.7159,22109.8
03160109,3543,3543000000,2.8461,74.8232,71.9771,10.408,7.8746,36875.5
03160110,2422,2422000000,3.8547,63.0775,59.2228,10.1542,5.2215,24593.4
03160111,3088,3088000000,2.9423,35.662,32.7197,10.5333,5.344,32526.8
03160112,3121,3121000000,3.3585,90.727,87.3685,11.6362,7.1574,36316.5
03160113,3661,3661000000,1.8365,54.8644,53.0279,8.8146,5.5022,32270.2
04100011,4670,4670000000,1.4809,40.1487,38.6678,3.8676,1.9743,18061.9
04100012,1959,1959000000,2.187,19.6462,17.4592,4.7667,2.0426,9338.03
04110001,2249,2249000000,1.8374,16.1971,14.3597,4.1406,1.2694,9312.23
04110002,1981,1981000000,2.6952,59.2624,56.5672,7.2869,3.8896,14435.3
04110003,1531,1531000000,3.2875,41.7684,38.4808,6.7564,3.8383,10344
04110004,1823,1823000000,2.4357,21.4755,19.0398,5.2605,1.6252,9589.95
04120101,2155,2155000000,3.7196,29.7696,26.05,7.6145,4.0476,16409.3
04130002,3669,3669000000,0.99775,75.4749,74.4771,6.7906,5.0821,24914.6
05010001,6645,6645000000,3.6732,91.6717,87.9985,10.6842,5.6772,70996.8
05010002,2248,2248000000,3.7256,93.4275,89.702,7.5708,5.2363,17019.1
05010003,4323,4323000000,3.4079,79.0855,75.6775,9.5341,6.9388,41216
05010004,3158,3158000000,2.4774,92.8295,90.3521,7.3312,5.4331,23152.1
05010005,3218,3218000000,3.7682,65.4722,61.704,10.3556,4.4693,33324.4
05010006,4320,4320000000,3.8942,34.3206,30.4264,8.531,2.0855,36854.1
05010007,3529,3529000000,3.4051,59.8325,56.4274,9.3494,3.1676,32994.2
05010008,1318,1318000000,3.0368,19.9185,16.8818,7.9241,2.3827,10444
05010009,1199,1199000000,3.4388,13.5741,10.1353,6.8244,1.2372,8182.47
05020001,3556,3556000000,3.7899,23.9646,20.1747,11.2012,2.3134,39831.4
05020002,2270,2270000000,3.7647,34.6986,30.9339,9.5136,1.8899,21595.8
05020003,1195,1195000000,3.5914,38.313,34.7216,9.7045,2.3932,11596.8
05020004,3671,3671000000,3.5419,52.5048,48.9628,12.5087,3.5408,45919.6
05020005,3641,3641000000,3.3736,23.29,19.9164,6.7162,1.8769,24453.6
05020006,4506,4506000000,3.0767,44.5398,41.4631,10.5771,4.2978,47660.4
05030101,4891,4891000000,3.0249,42.7561,39.7312,7.4231,2.305,36306.3
05030102,2627,2627000000,2.7237,60.6093,57.8856,5.2569,3.619,13809.8
05030103,2833,2833000000,2.009,37.8747,35.8657,5.0797,2.3508,14390.6
05030104,269,269000000,3.1673,32.6346,29.4673,6.4448,2.7095,1733.65
05030105,2129,2129000000,2.8638,42.177,39.3132,7.0391,3.0466,14986.2
05030106,3867,3867000000,4.7631,27.1196,22.3565,7.7001,1.4887,29776.2
05030201,4633,4633000000,4.0462,28.4532,24.4071,8.2048,0.94478,38012.7
05030202,3542,3542000000,2.7506,37.7923,35.0417,6.0036,1.9834,21264.9
05030203,5978,5978000000,3.0023,18.9893,15.987,8.2226,1.1177,49154.7
05030204,3093,3093000000,2.2476,28.8208,26.5732,8.0012,1.7579,24747.8
05040001,6627,6627000000,2.1321,43.5913,41.4592,7.8401,2.9106,51956.4
05040002,2584,2584000000,2.6128,40.3206,37.7078,7.1737,2.3005,18536.9
05040003,3213,3213000000,2.5931,46.0857,43.4926,7.3316,2.9871,23556.3
05040004,4047,4047000000,2.1528,36.6043,34.4516,7.2481,2.299,29332.9
05040005,2147,2147000000,2.567,38.7698,36.2029,7.408,1.9567,15905
05040006,1984,1984000000,2.2917,47.5108,45.2191,7.4784,3.6635,14837.2
05050002,4335,4335000000,2.2702,33.4968,31.2266,7.4649,2.424,32360.2
05050003,4253,4253000000,2.7665,48.3657,45.5992,9.2766,3.24,39453.5
05050004,1784,1784000000,3.2337,30.1823,26.9486,9.3406,2.5493,16663.7
05050005,3660,3660000000,3.1973,52.1133,48.916,12.2735,3.3563,44921
05050006,1327,1327000000,4.2454,32.6768,28.4315,10.9476,1.7519,14527.5
05050007,3970,3970000000,4.8272,28.8421,24.0149,11.1839,3.622,44400
05050008,2357,2357000000,2.579,14.7697,12.1908,6.551,1.6155,15440.6
05050009,2307,2307000000,3.9669,47.4525,43.4855,11.5057,2.5636,26543.7
05060001,8215,8215000000,2.1528,27.3274,25.1747,4.6342,2.3003,38070.3
05060002,5598,5598000000,1.8797,35.4301,33.5504,6.9128,2.8407,38698
05060003,2941,2941000000,2.5823,17.3005,14.7182,7.0467,2.4749,20724.3
05070101,2429,2429000000,5.9551,20.8938,14.9388,10.9761,2.9843,26661.1
05070102,1915,1915000000,4.3837,17.6019,13.2183,9.2225,2.3761,17661.2
05070201,4034,4034000000,5.8087,35.5105,29.7019,10.2562,2.412,41373.4
05070202,3131,3131000000,4.5021,35.73,31.2279,10.4673,1.8363,32773
05070203,2874,2874000000,5.7595,46.4672,40.7077,11.1521,1.7858,32051
05070204,1053,1053000000,3.0488,46.7111,43.6623,9.5513,2.674,10057.5
05090101,3677,3677000000,2.2615,28.3159,26.0544,6.9774,2.2049,25656
05090102,1149,1149000000,2.9261,30.1726,27.2464,10.1735,3.0168,11689.4
05090103,2563,2563000000,2.4192,38.032,35.6127,7.1855,3.0386,18416.3
05090104,1874,1874000000,2.4048,55.6723,53.2675,6.49,4.0582,12162.2
05090201,5270,5270000000,2.409,30.3603,27.9513,7.0847,3.0944,37336.4
05100101,7163,7163000000,2.0766,60.3838,58.3072,7.674,4.5772,54968.8
05100102,2391,2391000000,2.4133,16.1087,13.6955,6.0124,2.1166,14375.7
05100201,3428,3428000000,6.8709,21.9053,15.0344,11.3181,1.8104,38798.5
05100202,1441,1441000000,7.6836,33.4526,25.769,13.1586,2.6199,18961.5
05100203,1939,1939000000,6.4703,19.4566,12.9862,11.9669,1.6052,23203.8
05100204,2834,2834000000,2.5539,57.7589,55.205,9.5554,3.7348,27080
05100205,8377,8377000000,2.226,24.0632,21.8372,6.2505,2.7493,52360.5
05110001,8012,8012000000,2.7534,45.7566,43.0033,10.7807,3.2754,86374.7
05130101,5997,5997000000,3.5109,34.7486,31.2377,13.2957,4.0576,79734.1
05130102,1975,1975000000,2.986,22.6807,19.6947,10.9462,2.1704,21618.8
05130103,4616,4616000000,3.046,43.2806,40.2345,11.0463,2.9069,50989.8
05130104,3579,3579000000,4.008,25.4089,21.4009,11.6442,3.1428,41674.6
05130105,2323,2323000000,3.436,44.1806,40.7446,12.065,4.3596,28027
05130106,1990,1990000000,3.5099,29.5413,26.0313,12.4068,3.5637,24689.6
05130107,2035,2035000000,4.5939,40.004,35.4101,13.4905,3.9272,27453.1
05130108,4534,4534000000,4.1848,74.117,69.9322,12.0736,5.0358,54741.8
05130203,2329,2329000000,2.9723,27.3163,24.3441,8.6453,2.8794,20134.9
06010201,3197,3197000000,3.3767,43.1399,39.7632,12.4537,4.865,39814.4
06010205,4961,4961000000,3.3717,45.5816,42.2099,9.9532,3.2021,49378
06010206,2399,2399000000,3.5237,33.247,29.7233,12.153,3.2328,29154.9
06010207,1602,1602000000,3.1121,32.7758,29.6637,11.3667,3.2382,18209.5
06010208,2226,2226000000,3.8863,38.3822,34.4959,13.3279,3.6048,29668
06020001,4588,4588000000,2.5345,37.5382,35.0037,12.4673,5.2694,57199.8
06020004,1556,1556000000,4.4665,27.0267,22.5602,14.6996,4.2549,22872.5
06030001,4731,4731000000,2.6611,34.1722,31.5111,11.8387,5.0664,56009.1
06030002,7129,7129000000,2.7741,34.3992,31.6251,10.2924,4.5165,73374.2
06030003,3228,3228000000,3.6702,34.1381,30.4678,12.6487,3.9823,40829.9
06030004,2467,2467000000,3.4667,33.0193,29.5526,14.0737,3.0242,34719.7
06030005,5599,5599000000,3.0238,32.8545,29.8307,12.3541,4.5528,69170.4
06030006,2366,2366000000,2.8876,93.4406,90.553,12.0576,7.5971,28528.3
06040002,3041,3041000000,3.4071,24.8991,21.492,9.6023,3.3066,29200.6
