HUC_8,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM
02050104,3583,3583000000,0,57.8572,57.8572,6.5957,3.1261,23632.2
02050106,5190,5190000000,0,53.471,53.471,8.6408,2.4884,44845.9
02050107,4582,4582000000,0,68.8002,68.8002,9.7854,3.8095,44836.6
02050201,4133,4133000000,0,45.6827,45.6827,9.783,3.3193,40433.2
02050202,2682,2682000000,4.0249,27.4114,23.3865,12.9946,2.7877,34851.5
02050203,2027,2027000000,0,34.8517,34.8517,11.3599,2.852,23026.6
02050204,2001,2001000000,0,36.0179,36.0179,10.8647,3.4854,21740.3
02050205,2542,2542000000,0,43.9451,43.9451,9.0206,2.4276,22930.4
02050206,4673,4673000000,0,59.1072,59.1072,9.8265,3.6918,45919.3
02050302,2566,2566000000,0,25.0948,25.0948,9.1302,2.5554,23428.1
02050303,2487,2487000000,0,25.1467,25.1467,8.2967,2.5589,20633.8
02070001,3833,3833000000,0,62.1354,62.1354,9.9372,5.0697,38089.4
02070002,3477,3477000000,0,42.5919,42.5919,8.6527,3.9909,30085.5
03150105,4144,4144000000,0,29.251,29.251,10.0764,4.6807,41756.6
03150106,6688,6688000000,0,47.8241,47.8241,11.0221,4.5311,73716
03150202,4733,4733000000,0,59.2605,59.2605,10.309,4.8795,48792.5
03160101,4662,4662000000,0,46.7874,46.7874,9.2305,4.5123,43032.5
03160103,2247,2247000000,0,57.8617,57.8617,12.9107,6.6247,29010.4
03160105,2062,2062000000,0,73.7167,73.7167,11.8023,4.887,24336.4
03160106,4225,4225000000,0,62.2981,62.2981,7.5038,4.5452,31703.4
03160107,2041,2041000000,0,74.139,74.139,10.8328,5.7523,22109.8
03160109,3562,3562000000,0,74.8232,74.8232,10.3525,7.8901,36875.5
03160110,2582,2582000000,0,63.0775,63.0775,9.525,5.6185,24593.4
03160111,3136,3136000000,0,35.662,35.662,10.3721,5.4584,32526.8
03160112,3218,3218000000,0,90.727,90.727,11.2854,7.3242,36316.5
03160113,3761,3761000000,0,54.8644,54.8644,8.5802,5.6108,32270.2
04100011,4705,4705000000,0,40.1487,40.1487,3.8389,1.9949,18061.9
04100012,1971,1971000000,0,19.6462,19.6462,4.7377,2.0699,9338.03
04110001,2313,2313000000,0,16.1971,16.1971,4.026,1.4241,9312.23
04110002,2098,2098000000,0,59.2624,59.2624,6.8805,4.1329,14435.3
