HUC_8,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM
02050104,3583,3583000000,0,55.379,55.379,6.5852,3.5059,23594.9
02050106,5190,5190000000,0,63.294,63.294,9.1492,2.8219,47484.3
02050107,4582,4582000000,0,65.119,65.119,9.8051,4.0293,44927
02050201,4133,4133000000,0,49.709,49.709,9.164,3.0804,37874.9
02050202,2682,2682000000,3.551,21.888,18.337,10.6874,2.4004,28663.7
02050203,2027,2027000000,0,34.501,34.501,10.8645,2.7816,22022.4
02050204,2001,2001000000,0,37.142,37.142,10.4955,2.9759,21001.5
02050205,2542,2542000000,0,55.338,55.338,9.3652,2.6739,23806.3
02050206,4673,4673000000,0,65.177,65.177,10.3468,3.9859,48350.6
02050302,2566,2566000000,0,26.342,26.342,8.8931,2.2986,22819.6
02050303,2487,2487000000,0,23.977,23.977,8.6479,2.7146,21507.4
02070001,3833,3833000000,0,64.616,64.616,12.4136,4.9059,47581.2
02070002,3477,3477000000,0,50.174,50.174,9.1332,4.01,31756
03150105,4144,4144000000,0,32.741,32.741,12.4596,5.7505,51632.6
03150106,6688,6688000000,0,55.043,55.043,12.5761,5.1719,84108.8
03150202,4733,4733000000,0,70.851,70.851,11.6729,6.4166,55248
03160101,4662,4662000000,0,50.082,50.082,10.168,4.888,47403
03160103,2247,2247000000,0,64.432,64.432,14.0047,7.3195,31468.6
03160105,2062,2062000000,0,80.135,80.135,13.1195,5.7128,27052.5
03160106,4225,4225000000,0,57.593,57.593,7.8215,4.7322,33045.8
03160107,2041,2041000000,0,75.976,75.976,11.5495,6.31,23572.5
03160109,3562,3562000000,0,97.013,97.013,11.9085,9.0483,42417.9
03160110,2582,2582000000,0,73.068,73.068,10.5805,6.5265,27318.8
03160111,3136,3136000000,0,41.694,41.694,12.1113,6.4519,37981
03160112,3218,3218000000,0,112.998,112.998,12.9642,8.4473,41718.9
03160113,3761,3761000000,0,65.156,65.156,9.746,6.4138,36654.5
04100011,4705,4705000000,0,33.101,33.101,3.0335,1.605,14272.8
04100012,1971,1971000000,0,17.68,17.68,3.9082,1.632,7703.07
04110001,2313,2313000000,0,13.714,13.714,3.264,1.0391,7549.7
04110002,2098,2098000000,0,36.68,36.68,5.2162,3.0358,10943.5
04110003,1633,1633000000,0,29.306,29.306,4.4251,2.6635,7226.24
04110004,1828,1828000000,0,14.49,14.49,3.6535,1.1115,6678.6
04120101,2230,2230000000,0,19.81,19.81,4.7271,2.7515,10541.4
04130002,3688,3688000000,0,60.442,60.442,5.6243,4.5244,20742.3
05010001,6724,6724000000,0,59.461,59.461,7.9665,4.4416,53566.5
05010002,2330,2330000000,0,54.618,54.618,4.621,3.3178,10766.9
05010003,4361,4361000000,0,56.348,56.348,6.3637,4.3556,27752.1
05010004,3197,3197000000,0,55.456,55.456,4.8912,3.3363,15637.3
05010005,3230,3230000000,0,53.424,53.424,7.7974,3.4232,25185.5
05010006,4361,4361000000,0,25.616,25.616,6.6564,1.581,29028.6
05010007,3560,3560000000,0,56.404,56.404,7.2135,2.8596,25680
05010008,1333,1333000000,0,14.564,14.564,5.1659,1.8031,6886.12
05010009,1283,1283000000,0,9.393,9.393,4.5592,1.5547,5849.51
05020001,3564,3564000000,0,25.441,25.441,12.4202,2.9976,44265.6
05020002,2280,2280000000,0,32.199,32.199,10.0978,2.3703,23023.1
05020003,1200,1200000000,0,33.929,33.929,10.2139,2.6889,12256.7
05020004,3679,3679000000,0,45.215,45.215,11.5844,2.9582,42619.1
05020005,3819,3819000000,0,18.118,18.118,5.3626,2.0742,20479.7
05020006,4570,4570000000,0,41.759,41.759,8.6948,3.8743,39735.1
05030101,5142,5142000000,0,27.304,27.304,5.6001,2.1599,28795.6
05030102,2761,2761000000,0,40.314,40.314,3.8433,2.4157,10611.3
05030103,2958,2958000000,0,27.177,27.177,3.8943,1.8836,11519.3
