HUC_8,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
02050104,19.9336,24.6783,21.8381,21.9742,26.4253,21.8769,23.7003,24.2741,21.604,22.8223,26.5586,19.4341,25.7602,22.5506,26.896,21.5864,24.3451,24.0451,25.6195,23.2525,25.553,22.846,24.5142,26.5027,28.0796,21.4703,27.0494,22.7433,24.0409,26.0088,24.7735,24.338
02050106,20.2889,23.1415,22.5671,23.2665,25.9955,25.8903,24.7543,24.4866,20.6956,24.8356,26.9202,20.6316,24.7817,23.1164,27.1954,21.541,25.4485,22.8764,24.4698,22.2099,25.6833,23.8098,23.3916,26.7156,28.0605,19.689,26.465,22.5164,25.021,27.0096,23.8581,27.6679
02050107,20.7944,25.6628,25.5726,25.4413,26.9394,27.8392,26.6025,25.3884,24.7246,26.2885,29.5352,24.5227,26.5379,23.9393,28.4228,21.9072,28.6451,24.3514,26.492,23.2362,27.9488,24.6422,25.195,27.9149,30.0623,20.8349,27.6026,23.5295,26.4024,29.6245,24.5004,29.5747
02050201,28.6565,29.9264,27.7546,27.36,30.6,26.0991,27.6791,30.2826,25.2535,28.3332,32.6312,25.2518,28.121,26.8851,30.493,26.3606,30.2874,26.1963,28.0423,26.0363,29.0706,25.6616,27.7967,31.011,32.1599,22.3096,29.5527,25.6988,27.9702,28.7785,27.7748,29.5104
02050202,27.9358,30.4573,28.2661,29.6081,31.7969,28.7737,29.6693,30.6872,26.2298,28.0408,32.824,25.9129,29.7938,27.0162,31.7995,24.9855,29.4238,28.6242,28.4875,26.5034,29.8865,27.3292,28.7502,30.7869,31.9249,23.9386,30.558,27.8926,26.6466,29.8196,29.4419,27.8983
02050203,25.3155,29.281,26.6653,27.5533,30.4344,27.9637,28.3091,28.9399,25.6612,26.7358,32.189,24.3487,29.4423,27.0053,31.1141,24.6718,28.7232,26.4751,26.7277,25.4421,28.02,27.2038,27.1581,30.481,32.0255,22.2829,29.2489,25.2932,26.7497,29.5773,28.9598,27.2635
02050204,24.5427,29.4359,27.9703,27.3976,29.9216,26.3273,27.407,29.2969,25.1275,27.9685,32.0863,24.3363,27.9803,26.4451,29.7949,24.0085,30.4936,25.4367,25.9397,25.9911,27.368,25.2831,26.7806,31.1885,32.2067,20.0678,28.0207,24.2251,27.0494,29.181,27.1696,29.8087
02050205,23.2725,26.4283,22.9345,25.2236,28.296,25.7114,25.3286,25.7987,23.1311,23.8792,28.776,21.3644,27.379,24.9938,29.7527,23.6049,26.84,25.0516,26.1861,24.7315,25.7625,26.0166,24.9685,28.4858,29.821,23.0321,27.3711,24.3559,25.3175,27.8316,26.5692,25.4365
02050206,22.4412,25.8736,24.8095,26.7523,28.2603,27.5355,27.1374,26.3917,24.4915,26.4589,30.6826,23.6378,27.3687,25.273,29.3198,21.773,27.7625,24.6752,25.6572,25.2718,27.5099,25.2913,25.1772,29.7359,31.348,22.8294,28.122,22.4416,26.874,29.3178,25.3167,29.2992
02050302,26.7681,28.0209,27.5988,25.6848,29.5251,24.9972,24.8328,28.8681,25.194,28.4007,29.9947,23.1204,25.7842,25.1635,27.3759,25.4175,30.9187,25.7232,27.0818,25.8377,26.4666,23.3023,26.277,30.7336,31.647,21.3388,27.9228,25.4836,26.6499,27.478,26.7939,29.5288
02050303,26.1342,26.7544,24.95,23.6144,28.5867,24.7229,22.4489,25.6724,24.8148,28.4156,27.0623,20.2321,25.1533,24.5495,25.602,24.6748,30.9636,23.7354,25.5661,24.9181,27.6389,21.5888,25.8188,29.1495,29.9581,20.5723,26.3456,25.7531,27.1785,25.2422,26.0681,28.1835
02070001,29.6679,29.9856,29.7694,25.7752,29.8525,29.2489,25.7469,26.7754,25.2824,34.0552,32.0572,24.5322,29.2123,26.9069,28.2676,29.4184,34.9345,26.8985,27.9352,24.4883,31.4995,29.5848,31.2354,34.9998,32.204,28.0045,30.8593,29.1868,31.5774,29.4347,25.6771,33.5166
02070002,29.619,30.8308,27.0187,25.6443,28.9663,27.3993,25.1776,25.9275,26.8873,31.0918,30.0589,21.9118,27.0222,26.6375,27.8748,27.4172,32.5697,26.1078,28.1476,24.585,29.5952,28.3639,29.537,32.3992,30.8537,24.9917,27.9725,27.4765,31.1185,28.1688,26.3217,30.3531
03150105,28.651,31.2512,31.9659,29.9302,33.7197,32.613,27.0559,25.4125,29.1637,37.2828,31.3099,34.0368,35.9729,27.3833,37.6168,29.7469,34.0841,33.2972,30.8557,32.2362,30.2842,33.7421,32.0149,35.8768,34.1173,32.8545,30.5884,24.7374,32.3594,33.2783,30.325,32.793
03150106,29.8099,30.4197,33.9644,31.4235,33.86,32.8714,26.6824,27.3738,31.957,35.5052,29.7061,33.8125,36.0738,29.0403,36.8537,30.4046,34.8636,34.8432,31.933,33.1351,27.7588,35.3886,33.3283,35.7692,35.418,34.6468,30.6441,23.1993,32.8197,37.2297,29.4683,33.05
03150202,33.1523,32.2375,35.8846,34.5637,35.7417,34.7487,31.1468,30.9579,32.4929,37.0087,31.6213,35.5077,35.1968,34.4631,37.4108,31.2031,37.5299,37.9713,34.997,32.6964,26.718,37.0699,33.4899,38.6074,34.6365,38.44,31.9585,25.766,34.9974,39.2291,32.9953,31.2466
03160101,32.9858,32.5355,35.7702,33.2886,31.8219,35.7133,31.2802,29.985,30.4823,39.8047,32.9365,34.7462,36.2481,34.5551,39.0204,35.4373,37.126,37.5225,35.5741,32.4812,27.0115,37.7196,34.3264,39.829,38.266,35.9312,30.7043,29.0168,34.9244,37.709,32.6742,35.3199
03160103,34.3654,33.9574,37.7705,34.6505,32.6398,38.457,33.4128,31.025,32.6201,40.8751,36.1548,35.6044,36.507,36.0412,39.8485,39.0502,38.8384,39.3281,35.9767,32.9141,27.8102,38.7509,37.5962,41.4864,37.9515,38.2004,31.8418,31.2572,36.6899,40.156,34.3471,36.2771
03160105,33.4968,31.5154,38.6338,36.0452,33.0748,37.8407,34.0725,30.2592,33.7694,40.5935,36.2563,36.9724,37.2678,35.5795,39.8876,38.3471,39.9678,40.0334,36.1762,34.7829,26.5239,38.6395,38.0182,42.7578,38.2992,39.3886,31.2851,29.1917,37.5784,41.8916,32.6087,35.2554
03160106,32.9091,29.0458,38.0206,35.6873,34.7033,36.9082,32.0068,31.1396,35.2412,40.3449,34.901,38.2136,35.9355,34.5644,38.0476,35.1291,37.7625,39.7491,35.772,35.2126,27.8231,36.7423,34.612,40.8387,38.7929,39.437,30.6736,28.5053,37.0601,40.9682,32.9636,33.1494
03160107,32.3613,30.7343,38.9603,35.2235,34.2578,37.6604,32.5074,30.2928,34.2093,39.4706,35.9404,36.6498,36.477,34.3328,38.6024,35.6119,38.7099,39.6247,35.3596,34.4515,27.2489,38.1782,36.8232,41.1024,38.7068,39.8402,31.3865,28.9566,36.1486,40.5207,33.253,34.2717
03160109,28.5236,29.262,33.8842,30.0998,31.2275,33.8143,29.4266,27.6395,29.0255,34.578,32.1517,33.748,35.6999,31.1844,36.5828,30.2393,35.5824,36.1152,31.0044,30.1113,26.0937,35.2206,35.037,34.3196,33.9697,33.0185,29.7824,24.2203,33.3348,38.582,29.8737,32.9373
03160110,25.7847,27.4725,32.4562,26.66,27.7552,30.7233,26.7827,27.3577,26.495,31.5542,29.0772,30.0758,32.359,28.9102,33.5027,28.4608,31.8064,31.8355,28.9474,27.3554,24.2755,31.2981,32.1238,32.5287,30.6482,29.3846,27.9512,21.5858,29.9451,35.3507,27.4765,29.0635
03160111,28.0911,29.0049,32.9506,28.9344,31.0899,32.3987,28.0737,27.3022,29.4689,33.2224,30.7101,32.3452,34.8277,28.955,35.2156,29.6131,34.2929,34.6322,29.9931,29.7457,26.399,34.7836,34.3432,33.1617,34.0287,32.432,30.3817,23.8536,31.9119,37.778,29.0048,32.2883
03160112,28.3823,27.8681,33.1541,30.7893,32.2654,33.316,28.8965,28.2026,29.5178,34.7887,30.8743,33.4502,33.3373,31.5368,34.3103,29.7436,33.8765,35.7653,31.577,28.5392,22.8264,35.0893,32.3622,34.9659,32.8523,34.043,28.8178,24.5472,32.0904,36.0648,31.0753,29.9238
03160113,33.7276,31.1472,37.0314,35.3413,37.0414,35.8979,30.8237,32.8501,34.4294,38.0926,34.152,37.1585,37.119,34.8467,38.209,34.0111,37.3826,39.4986,36.3441,33.7874,27.6272,36.6708,33.4553,39.4709,37.3324,40.4287,31.2643,29.2959,34.9465,39.6149,33.1279,31.9614
