HUC_8,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
02050104,31.0892,38.2258,34.5125,36.7835,46.5078,34.1836,38.4126,36.2069,29.7707,38.0321,46.5546,29.4346,44.7451,42.7475,49.0478,38.0544,51.0783,38.1666,42.3215,39.723,40.6602,34.4062,41.7929,49.6348,51.8953,45.259,48.0504,41.7316,42.4013,39.2621,43.543,56.4234
02050106,32.1089,37.5215,35.924,47.2591,45.9229,39.8196,44.7424,40.4899,33.019,42.9528,49.2492,33.0135,41.6041,46.8212,51.2953,38.7227,56.2677,35.6482,44.9899,41.0054,45.4283,37.5504,46.5579,54.358,54.783,46.6864,51.5424,45.7011,49.1402,41.5553,43.7425,68.6906
02050107,30.8805,41.0743,41.0861,51.9846,47.924,44.2646,48.3941,45.3639,41.2966,45.8613,54.2959,38.386,43.1086,49.7534,54.4864,39.5682,64.1412,37.5437,46.3874,43.3789,47.406,36.6251,49.3747,60.898,57.725,48.1771,57.731,48.5847,52.9784,46.3988,45.2499,77.0155
02050201,40.0882,43.6365,40.7283,44.0855,49.8833,44.7953,46.8722,44.1413,37.4537,46.3192,55.5467,37.3195,45.3817,51.3353,53.581,40.7349,61.5419,44.1162,43.6241,43.7087,42.653,35.7178,45.9547,56.2162,59.5137,43.5579,46.5234,45.7073,46.7503,42.587,44.5668,61.4545
02050202,39.4321,46.6473,42.1927,46.9499,54.7677,45.8736,46.8866,46.1349,37.3489,45.4405,57.4714,37.497,54.5289,50.1531,55.7473,42.2069,60.2274,45.9608,43.6726,43.7666,44.2897,40.1348,48.853,58.392,61.5078,45.274,51.9563,48.8716,45.5323,44.073,46.1155,60.368
02050203,37.1179,43.6085,40.0946,47.0247,54.3236,42.9743,47.0886,41.8278,36.7467,41.406,53.9066,36.0897,49.666,50.5047,53.8079,41.9209,61.797,42.126,43.8614,43.32,42.3687,39.9369,46.0605,60.0687,62.0334,44.7839,48.8945,43.6536,46.5125,44.1155,47.9683,63.8354
02050204,35.1703,42.7521,41.4031,49.2303,52.3078,41.3373,46.6807,42.363,36.6042,43.141,53.1483,35.7885,42.8328,51.3085,52.1365,39.8669,63.5286,40.0906,41.4039,42.6109,39.8033,35.3676,44.86,59.0753,59.3951,40.7447,44.7518,40.2634,46.1816,42.6976,45.4465,63.8282
02050205,35.0047,41.0638,35.6327,42.4079,49.213,37.7301,40.7381,36.0226,31.491,37.9246,47.1586,32.0578,45.5353,46.518,53.8848,41.9677,57.5961,40.5646,45.0867,44.2733,41.0983,39.2804,44.2666,56.8623,59.0603,47.7532,48.8059,45.5191,46.9296,42.4309,46.2835,62.9894
02050206,34.2999,40.5245,40.2596,50.9909,50.0539,40.2765,47.1349,41.2536,37.129,43.7096,52.9715,36.3877,44.1057,50.149,53.2942,40.366,61.3915,37.3967,46.134,47.7755,45.0149,38.736,48.1985,59.1918,60.0906,49.8749,53.8116,43.5446,50.8781,45.5133,45.2087,76.0504
02050302,37.4798,38.5124,40.0787,44.2027,46.34,41.0878,41.1448,40.4375,35.818,44.6245,48.2197,32.7139,38.5191,49.3103,49.0153,38.3104,61.2725,42.6443,40.9998,41.6024,36.6643,30.6408,42.1436,55.1931,55.7358,39.3503,41.8052,42.7217,44.4602,38.9436,43.2883,60.0215
02050303,38.0791,38.2764,37.4241,44.9229,46.1954,42.2811,36.9934,38.1279,35.7382,47.6046,44.116,28.1756,38.3741,47.6105,46.011,38.188,60.7422,41.7342,39.8899,42.1128,39.3538,28.6254,41.4283,53.8659,53.4641,35.8631,40.0274,45.0703,47.763,37.5338,41.9672,57.1941
02070001,39.1572,37.1335,42.7702,41.5826,44.1626,46.2585,35.6871,39.0189,30.0735,50.4281,44.2359,35.2507,40.1494,45.1993,46.0394,41.2959,66.2552,38.648,42.0081,36.5258,40.1409,37.7002,50.3708,61.9078,48.6477,39.9608,42.7072,44.1074,46.0614,45.1152,36.6387,56.2674
02070002,41.9084,43.2788,40.3566,42.7895,46.1714,48.2563,39.8684,38.1898,37.2993,47.9223,45.5471,32.4312,39.7935,47,49.2685,42.441,65.0067,42.1335,42.9006,38.0043,40.1587,37.661,46.8211,60.6681,51.3703,42.1206,40.4186,44.9961,52.8054,47.5445,41.9933,57.0118
03150105,59.0754,48.5687,69.7233,62.5093,55.279,48.324,40.3862,42.2322,42.6006,75.3829,64.5411,56.6653,65.1623,45.9015,66.3805,57.7559,62.2771,64.131,59.0549,49.3375,50.8314,54.9494,62.8895,66.2872,62.888,49.6488,47.1059,33.9358,51.7187,71.2439,48.4764,60.8553
03150106,57.5745,45.5499,69.1541,73.1682,50.3975,48.8881,38.3709,46.1701,49.1754,68.1652,57.9509,55.4472,60.5088,45.4187,61.9985,60.0091,59.6218,64.3742,57.7024,49.8936,47.8498,60.5259,62.73,66.5666,63.7271,53.4248,50.1538,31.6066,54.5937,75.6392,48.0893,57.6558
03150202,59.8096,48.5519,65.646,77.5218,51.4011,48.828,48.1517,48.2592,50.4011,63.2819,59.6618,57.9238,56.9765,48.8252,58.6284,60.1898,59.903,63.3696,62.5508,50.2677,44.6355,64.3334,59.4618,67.0595,58.9288,64.1665,51.5098,32.4642,56.6196,78.8941,51.1057,50.8509
03160101,59.3066,41.0734,70.4233,81.3898,53.1335,50.1914,50.8378,46.4046,46.9512,74.5967,67.3373,85.2667,51.7232,51.159,66.8873,60.3057,63.0424,66.1402,59.3536,51.2574,45.4652,70.5612,68.2954,67.9,72.4458,55.8312,52.0963,39.3293,56.0083,71.4472,48.0726,63.2906
