HUC_8,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
02050104,4.4845,4.4212,5.5663,5.8254,8.4205,4.9778,5.936,4.5985,3.287,6.2781,7.9438,4.2693,8.3292,7.6106,8.2101,4.1959,9.5367,6.0106,6.5852,5.7183,5.5897,5.2645,6.888,8.9003,8.4611,7.8205,8.1508,6.5647,7.3108,4.9736,6.4883,12.4434
02050106,5.7821,5.4652,7.6779,9.2248,9.9338,5.805,8.6187,6.4868,5.4276,7.7132,10.2744,5.7941,8.5128,9.9267,11.1923,5.8389,13.1933,6.6423,9.1492,7.4453,8.2127,6.8305,9.2512,11.27,10.1865,9.881,10.283,9.5361,10.6637,6.5121,7.7141,16.0613
02050107,4.9855,6.4137,8.9402,10.2933,11.1554,6.5716,9.9553,8.1654,7.8951,8.4564,12.0101,6.7159,8.3436,11.1821,13.0278,6.8498,15.0934,6.974,9.8051,8.2157,8.1119,7.2124,10.0039,13.9486,11.3272,10.875,12.0697,11.1022,11.8748,8.5181,7.7653,19.2742
02050201,6.6552,6.7239,7.7599,9.4482,12.0324,8.8645,9.9381,7.9046,7.229,9.6762,14.1355,6.3896,10.4632,13.6314,12.2242,6.8487,16.1069,9.3455,9.164,9.3945,6.7629,6.28,10.3847,14.1297,12.2588,10.681,8.9588,10.3599,9.2395,6.6175,6.4609,16.9869
02050202,8.2181,9.5498,11.1943,11.1099,17.1445,11.0401,11.7334,11.0077,8.0611,11.8994,18.5721,7.9021,16.9441,16.617,16.9912,8.8165,23.0352,11.8343,10.6874,12.4421,8.7817,9.872,12.5442,19.1861,17.9272,14.0557,13.8708,12.4801,12.5222,8.4188,8.51,22.8582
02050203,7.6497,6.965,9.2484,10.6939,15.8135,9.2324,11.2433,8.4452,6.8428,9.1983,14.4005,7.1604,12.5443,14.2087,14.3064,7.4012,19.7348,9.7685,10.8645,10.5124,7.9107,9.079,11.1026,18.6518,15.8745,12.7767,11.4812,10.2548,12.1054,8.3922,8.7743,20.8803
02050204,6.7309,6.7664,9.0155,12.6041,14.506,9.1853,11.5753,8.7067,7.3187,9.4135,14.1879,7.0317,9.3693,15.3295,14.2407,7.8579,19.8319,8.9791,10.4955,9.171,6.7576,7.1064,10.826,17.5107,14.7028,11.772,9.9027,9.732,11.353,7.4762,8.275,19.9393
02050205,6.3304,5.6984,7.416,8.0298,11.762,6.5165,7.58,5.5859,4.3013,7.319,9.2604,5.3082,10.0424,10.5419,12.215,6.06,14.3165,7.9958,9.3652,9.1804,6.9821,8.0419,9.6263,14.015,12.3472,10.8142,10.175,9.2981,10.5415,7.1517,7.931,16.9106
02050206,6.1774,5.6634,8.7944,10.5606,11.9014,6.7105,9.8257,7.1847,6.3616,8.6872,11.2437,6.4356,8.7002,11.5734,12.4877,6.4819,15.1017,6.9563,10.3468,9.5527,8.0264,7.7783,10.6381,14.2346,12.5045,11.5233,11.3861,10.213,11.7384,8.193,7.7617,19.7045
02050302,6.3805,5.0588,7.6348,11.1065,10.6764,8.6786,9.1365,7.0662,6.7651,9.649,11.3569,5.1463,7.842,13.3619,12.2975,6.1439,15.6216,8.6056,8.8931,8.0138,4.792,5.3347,9.2013,14.0991,11.1442,9.8453,7.9694,10.2446,10.0441,5.9244,7.3799,16.7527
